epoch,accuracy,loss,val_accuracy,val_loss
0,0.9811262488365173,0.08876163512468338,1.0,0.030933193862438202
1,1.0,0.026136912405490875,1.0,0.02131524868309498
2,1.0,0.018989909440279007,1.0,0.016451247036457062
3,1.0,0.014996059238910675,1.0,0.013288840651512146
4,1.0,0.012410617433488369,1.0,0.011248855851590633
5,1.0,0.010610337369143963,1.0,0.009705700911581516
6,1.0,0.009278601966798306,1.0,0.008588694967329502
7,1.0,0.00823213905096054,1.0,0.007705947384238243
8,1.0,0.007404371630400419,1.0,0.00697157671675086
9,1.0,0.006726888008415699,1.0,0.006349526811391115
10,1.0,0.006195608526468277,1.0,0.00587928481400013
11,1.0,0.005678337533026934,1.0,0.0054064965806901455
12,1.0,0.005265973042696714,1.0,0.0050956192426383495
13,1.0,0.0049118525348603725,1.0,0.004678372293710709
14,1.0,0.004568244330585003,1.0,0.004367395304143429
15,1.0,0.004268248099833727,1.0,0.004098730161786079
16,1.0,0.003996027167886496,1.0,0.0038535133935511112
17,1.0,0.003743569366633892,1.0,0.0036182308103889227
18,1.0,0.0035073852632194757,1.0,0.0033817195799201727
19,1.0,0.0032807623501867056,1.0,0.003142411820590496
20,1.0,0.0030841054394841194,1.0,0.0029559850227087736
21,1.0,0.002883247332647443,1.0,0.002759976079687476
22,1.0,0.0027159592136740685,1.0,0.0026271624956279993
23,1.0,0.0025536995381116867,1.0,0.002461410127580166
24,1.0,0.0024143008049577475,1.0,0.0023202775046229362
25,1.0,0.002279494656249881,1.0,0.0021944318432360888
26,1.0,0.0021636777091771364,1.0,0.002097269520163536
27,1.0,0.0020486365538090467,1.0,0.001977000618353486
28,1.0,0.00194443145301193,1.0,0.0018732781754806638
29,1.0,0.0018497094279155135,1.0,0.001791474991478026
